id,status,vehicle_id,proposer_id,dealer_id,customer_id,category,signature_url,insurer_form_url,mileage_coverage,duration,start_at,end_at,warranty_start_override,price,max_claim,premium,remarks,cancel_remarks
744,completed,831,818,26,747,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598409171-rfq_1598409169_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598409169_on_1598430812.pdf,130000,5,8/26/2020,8/25/2025,FALSE,1400,10000,,,
777,completed,864,851,26,780,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598488577-rfq_1598488576_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598488576_on_1598508518.pdf,130000,5,8/27/2020,8/26/2025,FALSE,600,10000,,,
778,completed,865,852,26,781,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598489197-rfq_1598489196_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598489196_on_1598498371.pdf,130000,5,8/27/2020,8/26/2025,FALSE,600,10000,,,
779,completed,866,853,26,782,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598489572-rfq_1598489572_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598489572_on_1598498140.pdf,130000,5,8/27/2020,8/26/2025,FALSE,600,10000,,,
780,completed,867,854,26,783,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598489975-rfq_1598489974_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598489974_on_1598503892.pdf,130000,5,8/27/2020,8/26/2025,FALSE,600,10000,,,
781,completed,868,855,26,784,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598490458-rfq_1598490457_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598490457_on_1598497934.pdf,130000,5,8/27/2020,8/26/2025,FALSE,1100,10000,,,
782,completed,869,856,26,785,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598491112-rfq_1598491112_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598491112_on_1598496390.pdf,130000,5,8/27/2020,8/26/2025,FALSE,600,10000,,,
783,completed,870,857,26,786,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598503735-rfq_1598491736_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598491736_on_1598503737.pdf,130000,5,8/27/2020,8/26/2025,FALSE,2500,10000,,,
784,completed,871,858,26,787,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598503660-rfq_1598492547_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598492547_on_1598503661.pdf,130000,5,8/27/2020,8/26/2025,FALSE,2500,10000,,,
785,completed,872,859,26,788,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598493086-rfq_1598493085_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598493085_on_1598508799.pdf,130000,5,8/27/2020,8/26/2025,FALSE,600,10000,,,
